Date,S&P 500 Pure Value (TR)
2014-02-28,8361.02
2014-03-03,8298.88
2014-03-04,8411.54
2014-03-05,8440.23
2014-03-06,8459.03
2014-03-07,8482.1
2014-03-10,8468.89
2014-03-11,8418.5
2014-03-12,8439.36
2014-03-13,8360.18
2014-03-14,8375.35
2014-03-17,8443.52
2014-03-18,8508.76
2014-03-19,8475.63
2014-03-20,8532
2014-03-21,8560.88
2014-03-24,8545.88
2014-03-25,8569.01
2014-03-26,8510.08
2014-03-27,8515.86
2014-03-28,8575.64
2014-03-31,8653.47
2014-04-01,8690.27
2014-04-02,8710.6
2014-04-03,8728.81
2014-04-04,8666.53
2014-04-07,8556.49
2014-04-08,8600.97
2014-04-09,8659.13
2014-04-10,8514.93
2014-04-11,8438.34
2014-04-14,8526.73
2014-04-15,8594.8
2014-04-16,8682.45
2014-04-17,8673.3
2014-04-21,8679.01
2014-04-22,8717.12
2014-04-23,8738.31
2014-04-24,8771.02
2014-04-25,8725.44
2014-04-28,8736.05
2014-04-29,8752.42
2014-04-30,8803.24
2014-05-01,8809.52
2014-05-02,8795.3
2014-05-05,8778.13
2014-05-06,8713.21
2014-05-07,8820
2014-05-08,8789.08
2014-05-09,8781.03
2014-05-12,8873.67
2014-05-13,8883.48
2014-05-14,8830.67
2014-05-15,8743.78
2014-05-16,8752.97
2014-05-19,8773.16
2014-05-20,8708.26
2014-05-21,8746.75
2014-05-22,8773.75
2014-05-23,8812.15
2014-05-27,8866.16
2014-05-28,8878.84
2014-05-29,8942.38
2014-05-30,8955.17
2014-06-02,8968.4
2014-06-03,8975.41
2014-06-04,9004.05
2014-06-05,9056.9
2014-06-06,9106.76
2014-06-09,9096.53
2014-06-10,9077.84
2014-06-11,9027.96
2014-06-12,8989.21
2014-06-13,9034.19
2014-06-16,9032.23
2014-06-17,9074.2
2014-06-18,9146.14
2014-06-19,9184.64
2014-06-20,9209.95
2014-06-23,9226.57
2014-06-24,9145.55
2014-06-25,9149.83
2014-06-26,9167.93
2014-06-27,9180.32
2014-06-30,9195.86
2014-07-01,9229.36
2014-07-02,9204.09
2014-07-03,9242.43
2014-07-07,9193.6
2014-07-08,9153.76
2014-07-09,9192.2
2014-07-10,9161.45
2014-07-11,9165.37
2014-07-14,9180.82
2014-07-15,9190.07
2014-07-16,9221.74
