Date,Dow Jones U.S. Thematic Long Size Total Return Index
2014-02-20,1608.42
2014-02-21,1611.42
2014-02-24,1622.12
2014-02-25,1620.37
2014-02-26,1625.01
2014-02-27,1631.44
2014-02-28,1633.14
2014-03-03,1623.36
2014-03-04,1653.72
2014-03-05,1650.7
2014-03-06,1653.63
2014-03-07,1653.56
2014-03-10,1647.37
2014-03-11,1635.46
2014-03-12,1640.08
2014-03-13,1622.84
2014-03-14,1626.71
2014-03-17,1637.44
2014-03-18,1654.65
2014-03-19,1644.42
2014-03-20,1647.5
2014-03-21,1647.48
2014-03-24,1632.19
2014-03-25,1631.29
2014-03-26,1611.72
2014-03-27,1606.88
2014-03-28,1613.58
2014-03-31,1636.86
2014-04-01,1655.68
2014-04-02,1662.71
2014-04-03,1656.36
2014-04-04,1628.46
2014-04-07,1603.39
2014-04-08,1614.82
2014-04-09,1632.48
2014-04-10,1597.04
2014-04-11,1574.57
2014-04-14,1584.1
2014-04-15,1592.29
2014-04-16,1608.7
2014-04-17,1611.93
2014-04-21,1616.82
2014-04-22,1627.71
2014-04-23,1623.03
2014-04-24,1626.84
2014-04-25,1604.86
2014-04-28,1599.85
2014-04-29,1604.45
2014-04-30,1616.62
2014-05-01,1615.1
2014-05-02,1620.39
2014-05-05,1619.01
2014-05-06,1605.07
2014-05-07,1610.18
2014-05-08,1603.24
2014-05-09,1607.7
2014-05-12,1635.5
2014-05-13,1625.47
2014-05-14,1608.65
2014-05-15,1597.23
2014-05-16,1604.91
2014-05-19,1614.83
2014-05-20,1596.91
2014-05-21,1604.32
2014-05-22,1612.85
2014-05-23,1624.32
2014-05-27,1641.03
2014-05-28,1633.75
2014-05-29,1644.01
2014-05-30,1639.09
2014-06-02,1641.03
2014-06-03,1640.34
2014-06-04,1648.68
2014-06-05,1669.7
2014-06-06,1681.87
2014-06-09,1690.15
2014-06-10,1687.28
2014-06-11,1680.31
2014-06-12,1670.28
2014-06-13,1676.09
2014-06-16,1679.1
2014-06-17,1692.51
2014-06-18,1702.21
2014-06-19,1705.11
2014-06-20,1707.83
2014-06-23,1706.35
2014-06-24,1691.76
2014-06-25,1700.73
2014-06-26,1697.8
2014-06-27,1708.08
2014-06-30,1714.18
2014-07-01,1727.15
2014-07-02,1718.71
2014-07-03,1727.93
2014-07-07,1709.17
2014-07-08,1695.32
2014-07-09,1696.21
2014-07-10,1685.19
2014-07-11,1681.75
2014-07-14,1690.52
2014-07-15,1683.16
2014-07-16,1683.92
2014-07-17,1665.21
2014-07-18,1682.73
2014-07-21,1675.17
2014-07-22,1687.7
2014-07-23,1684.75
2014-07-24,1686.6
2014-07-25,1675.57
2014-07-28,1671.45
2014-07-29,1670.52
2014-07-30,1672.09
2014-07-31,1637.95
2014-08-01,1635.41
2014-08-04,1642.22
2014-08-05,1636.19
2014-08-06,1640.31
2014-08-07,1632.89
2014-08-08,1649.77
2014-08-11,1658.04
2014-08-12,1648.79
2014-08-13,1659.65
2014-08-14,1665.93
2014-08-15,1664.7
2014-08-18,1684.03
2014-08-19,1692.58
2014-08-20,1694.1
2014-08-21,1697.45
2014-08-22,1695.81
2014-08-25,1700.56
2014-08-26,1709.89
2014-08-27,1707.82
2014-08-28,1705.01
2014-08-29,1713.99
2014-09-02,1718.58
2014-09-03,1711.98
2014-09-04,1706.26
2014-09-05,1712.62
2014-09-08,1711.61
2014-09-09,1697.34
2014-09-10,1701.1
2014-09-11,1710.78
2014-09-12,1693.83
2014-09-15,1685
2014-09-16,1690.52
2014-09-17,1690.77
2014-09-18,1695.94
2014-09-19,1681.68
2014-09-22,1658.83
2014-09-23,1642.27
2014-09-24,1650.02
2014-09-25,1627.76
2014-09-26,1637.96
2014-09-29,1638.13
2014-09-30,1622.44
2014-10-01,1604.06
2014-10-02,1611.86
2014-10-03,1624.28
2014-10-06,1622.16
2014-10-07,1601.73
2014-10-08,1626.54
2014-10-09,1589.42
2014-10-10,1565.79
2014-10-13,1550.61
2014-10-14,1565.81
2014-10-15,1569.47
2014-10-16,1584.07
2014-10-17,1590.7
2014-10-20,1610.7
2014-10-21,1645
2014-10-22,1628.82
2014-10-23,1656.16
2014-10-24,1662.1
2014-10-27,1657.91
2014-10-28,1687.26
2014-10-29,1682.67
2014-10-30,1688.79
2014-10-31,1708.76
2014-11-03,1706.52
2014-11-04,1695.62
2014-11-05,1703.56
2014-11-06,1714.44
2014-11-07,1723.14
2014-11-10,1725.59
2014-11-11,1724.23
2014-11-12,1732.79
2014-11-13,1724.31
2014-11-14,1726.41
2014-11-17,1720.4
2014-11-18,1726.5
2014-11-19,1720.12
2014-11-20,1734.17
2014-11-21,1742.28
2014-11-24,1756.04
2014-11-25,1754.07
2014-11-26,1754.03
2014-11-28,1732.39
2014-12-01,1708.78
2014-12-02,1716.68
2014-12-03,1731.08
2014-12-04,1722.64
2014-12-05,1726.01
2014-12-08,1702.09
2014-12-09,1719.63
2014-12-10,1681.61
2014-12-11,1688.21
2014-12-12,1665.77
2014-12-15,1653.26
2014-12-16,1650
2014-12-17,1692.32
2014-12-18,1719.47
2014-12-19,1730.6
2014-12-22,1736.46
2014-12-23,1742.46
2014-12-24,1743.66
2014-12-26,1750.64
2014-12-29,1761.49
2014-12-30,1752.23
2014-12-31,1736.5
2015-01-02,1731.99
2015-01-05,1699.35
2015-01-06,1680.85
2015-01-07,1696.55
2015-01-08,1724.05
2015-01-09,1709.1
2015-01-12,1698.24
2015-01-13,1697.57
2015-01-14,1690.55
2015-01-15,1668.56
2015-01-16,1694.03
2015-01-20,1687.43
2015-01-21,1698.83
2015-01-22,1725.27
2015-01-23,1720.96
2015-01-26,1738.82
2015-01-27,1730.38
2015-01-28,1702.85
2015-01-29,1720.97
2015-01-30,1699.17
2015-02-02,1719.75
2015-02-03,1755.23
2015-02-04,1745.33
2015-02-05,1762.82
2015-02-06,1757.54
2015-02-09,1750.81
2015-02-10,1762.29
2015-02-11,1764.25
2015-02-12,1783.27
2015-02-13,1793.98
2015-02-17,1796.73
2015-02-18,1801.22
2015-02-19,1799.42
2015-02-20,1809.63
2015-02-23,1808.04
2015-02-24,1810.3
2015-02-25,1812.28
2015-02-26,1809.53
