Date,S&P 500 Pure Growth (TR)
2014-06-16,8620.16
2014-06-17,8666.24
2014-06-18,8723.41
2014-06-19,8704.75
2014-06-20,8734.54
2014-06-23,8728.48
2014-06-24,8713.3
2014-06-25,8790.41
2014-06-26,8789.99
2014-06-27,8812.4
2014-06-30,8807.29
2014-07-01,8922.03
2014-07-02,8920
2014-07-03,8980.52
2014-07-07,8892.21
2014-07-08,8781.57
2014-07-09,8861.06
2014-07-10,8806.01
2014-07-11,8843.75
2014-07-14,8891.23
2014-07-15,8841.83
2014-07-16,8856.61
2014-07-17,8702.49
2014-07-18,8822.21
2014-07-21,8807.4
2014-07-22,8877.18
2014-07-23,8921.12
2014-07-24,8939.75
2014-07-25,8913.43
2014-07-28,8896.45
2014-07-29,8866.83
2014-07-30,8894.23
2014-07-31,8698.93
2014-08-01,8665.34
2014-08-04,8731.54
2014-08-05,8653.34
2014-08-06,8644.98
2014-08-07,8581.53
2014-08-08,8673.89
2014-08-11,8706.67
2014-08-12,8670.38
2014-08-13,8750.38
2014-08-14,8788.14
2014-08-15,8815.89
2014-08-18,8898.82
2014-08-19,8933.32
2014-08-20,8977.15
2014-08-21,8970.92
2014-08-22,9010.85
2014-08-25,9067.12
2014-08-26,9095.9
2014-08-27,9060.39
2014-08-28,9031.68
2014-08-29,9059.19
2014-09-02,9087.94
2014-09-03,9063.88
2014-09-04,9035.56
2014-09-05,9064.97
2014-09-08,9046.83
2014-09-09,8958.11
2014-09-10,9022.35
2014-09-11,9013.02
2014-09-12,8967.87
2014-09-15,8884.29
2014-09-16,8966
2014-09-17,8972.05
2014-09-18,9047.78
2014-09-19,9018.94
2014-09-22,8899.37
2014-09-23,8853.18
2014-09-24,8967.51
2014-09-25,8808.37
2014-09-26,8906.93
2014-09-29,8880.59
2014-09-30,8825.32
2014-10-01,8660.24
2014-10-02,8669.57
2014-10-03,8797.31
2014-10-06,8746.63
2014-10-07,8602.68
2014-10-08,8770.63
2014-10-09,8548.54
2014-10-10,8387.16
2014-10-13,8168.01
2014-10-14,8207.94
2014-10-15,8170.94
2014-10-16,8209.12
2014-10-17,8310.9
2014-10-20,8420.45
2014-10-21,8645.25
2014-10-22,8547.84
2014-10-23,8681.66
2014-10-24,8750.4
2014-10-27,8724.17
2014-10-28,8865.22
2014-10-29,8837.64
2014-10-30,8888.08
2014-10-31,9024.3
2014-11-03,9016.24
2014-11-04,8943.64
2014-11-05,8957.12
2014-11-06,9038.36
2014-11-07,9022.11
2014-11-10,9060.26
2014-11-11,9062.85
2014-11-12,9076.04
2014-11-13,9045.1
2014-11-14,9048.98
2014-11-17,9024.1
2014-11-18,9120.4
2014-11-19,9098.92
2014-11-20,9098.37
2014-11-21,9113.46
2014-11-24,9180.78
2014-11-25,9179.05
2014-11-26,9196.58
2014-11-28,9177.21
2014-12-01,9046.11
2014-12-02,9114.1
2014-12-03,9167.89
2014-12-04,9158.68
2014-12-05,9183.37
2014-12-08,9108.83
2014-12-09,9125.11
2014-12-10,8976.19
2014-12-11,9040.01
2014-12-12,8902.6
2014-12-15,8846.04
2014-12-16,8728.56
2014-12-17,8931.75
2014-12-18,9144.69
2014-12-19,9183.84
2014-12-22,9201.25
2014-12-23,9157.45
2014-12-24,9176.84
2014-12-26,9214.75
2014-12-29,9227.5
2014-12-30,9172.37
2014-12-31,9100.67
2015-01-02,9103.57
2015-01-05,8960.11
2015-01-06,8863.39
2015-01-07,9011.3
2015-01-08,9179.31
2015-01-09,9139.65
2015-01-12,9056.64
2015-01-13,9009.68
2015-01-14,8971.66
2015-01-15,8833.87
2015-01-16,8972.19
2015-01-20,8995.85
2015-01-21,9043.15
2015-01-22,9156.99
2015-01-23,9163.99
2015-01-26,9211.06
2015-01-27,9107.66
2015-01-28,9014.36
2015-01-29,9133.77
2015-01-30,8981.48
2015-02-02,9031.03
2015-02-03,9143.99
2015-02-04,9126.29
2015-02-05,9221.19
2015-02-06,9165.4
2015-02-09,9099.7
2015-02-10,9250.11
2015-02-11,9269.88
2015-02-12,9386.72
2015-02-13,9408.97
2015-02-17,9422.53
2015-02-18,9449.44
2015-02-19,9465.94
2015-02-20,9546.08
2015-02-23,9541.4
2015-02-24,9528.62
2015-02-25,9537.59
2015-02-26,9547.7
2015-02-27,9526.71
2015-03-02,9610.79
2015-03-03,9534.74
2015-03-04,9509.56
2015-03-05,9541.86
2015-03-06,9384.27
2015-03-09,9426
2015-03-10,9288.42
2015-03-11,9310.34
