Date,S&P 500 Low Rate-Sensitivity 100 Index (USD) TR
2014-02-28,7634.54
2014-03-03,7590.36
2014-03-04,7698.48
2014-03-05,7674.03
2014-03-06,7660.78
2014-03-07,7659.29
2014-03-10,7650.87
2014-03-11,7638.32
2014-03-12,7668.25
2014-03-13,7619.87
2014-03-14,7636.06
2014-03-17,7678.86
2014-03-18,7699.98
2014-03-19,7615.5
2014-03-20,7633.92
2014-03-21,7629.9
2014-03-24,7597.72
2014-03-25,7619.8
2014-03-26,7592.86
2014-03-27,7604.67
2014-03-28,7623.07
2014-03-31,7687.63
2014-04-01,7709.47
2014-04-02,7725.37
2014-04-03,7714.77
2014-04-04,7676.12
2014-04-07,7635.78
2014-04-08,7683.41
2014-04-09,7725.25
2014-04-10,7617.61
2014-04-11,7568.96
2014-04-14,7616.85
2014-04-15,7659.41
2014-04-16,7735.68
2014-04-17,7714.82
2014-04-21,7737.46
2014-04-22,7760.43
2014-04-23,7751.52
2014-04-24,7750.42
2014-04-25,7763.85
2014-04-28,7804.78
2014-04-29,7815.11
2014-04-30,7853.89
2014-05-01,7867.67
2014-05-02,7814.79
2014-05-05,7844.4
2014-05-06,7791.35
2014-05-07,7849.6
2014-05-08,7830.5
2014-05-09,7823.85
2014-05-12,7844.65
2014-05-13,7843.34
2014-05-14,7841.63
2014-05-15,7784.21
2014-05-16,7824.46
2014-05-19,7794.48
2014-05-20,7747.19
2014-05-21,7777.77
2014-05-22,7807.55
2014-05-23,7817.46
2014-05-27,7853.24
2014-05-28,7843.16
2014-05-29,7882.15
2014-05-30,7926.24
2014-06-02,7914.93
2014-06-03,7915.76
2014-06-04,7934.98
2014-06-05,7980.5
2014-06-06,7984.95
2014-06-09,7980.74
2014-06-10,7960.74
2014-06-11,7919.51
2014-06-12,7901.29
2014-06-13,7922.93
2014-06-16,7941.71
2014-06-17,7939.67
2014-06-18,8036.03
2014-06-19,8078.74
2014-06-20,8078.19
2014-06-23,8068.24
2014-06-24,8082.62
2014-06-25,8089.36
2014-06-26,8093
2014-06-27,8099.1
2014-06-30,8125.29
2014-07-01,8135.4
2014-07-02,8102.25
2014-07-03,8112.7
2014-07-07,8106.31
2014-07-08,8100.83
2014-07-09,8122.96
2014-07-10,8129.09
2014-07-11,8116.81
2014-07-14,8116.31
2014-07-15,8075.59
2014-07-16,8071.38
2014-07-17,8004.29
2014-07-18,8096.68
2014-07-21,8061.32
2014-07-22,8077.43
2014-07-23,8081.28
2014-07-24,8095.15
2014-07-25,8053.78
2014-07-28,8113.9
2014-07-29,8080.37
2014-07-30,8039.77
2014-07-31,7901.36
2014-08-01,7930.75
2014-08-04,7946.93
2014-08-05,7890.16
2014-08-06,7883.51
2014-08-07,7877.17
2014-08-08,7980.96
2014-08-11,7992.36
2014-08-12,7983.24
2014-08-13,8022.47
2014-08-14,8080.15
2014-08-15,8110.44
2014-08-18,8150.94
2014-08-19,8205.44
2014-08-20,8218.56
2014-08-21,8228.25
2014-08-22,8213.58
2014-08-25,8247.43
2014-08-26,8229.26
2014-08-27,8257.27
2014-08-28,8279.09
2014-08-29,8305.81
2014-09-02,8290.79
2014-09-03,8313.65
2014-09-04,8303.93
2014-09-05,8364.94
2014-09-08,8323.37
2014-09-09,8259.86
2014-09-10,8257.22
2014-09-11,8279.87
2014-09-12,8177.05
2014-09-15,8179.22
2014-09-16,8251.61
2014-09-17,8240.76
2014-09-18,8241.02
2014-09-19,8266.65
2014-09-22,8228.62
2014-09-23,8184.47
2014-09-24,8232.99
2014-09-25,8156.18
2014-09-26,8204.66
2014-09-29,8218.57
2014-09-30,8220.58
2014-10-01,8179.32
2014-10-02,8185.11
2014-10-03,8266.27
2014-10-06,8254.42
2014-10-07,8192.42
2014-10-08,8352.47
2014-10-09,8248.04
2014-10-10,8251.82
2014-10-13,8171.24
2014-10-14,8220.05
2014-10-15,8139.69
2014-10-16,8118.44
2014-10-17,8199.31
2014-10-20,8310
2014-10-21,8404.07
2014-10-22,8402.6
2014-10-23,8442.38
2014-10-24,8506.52
2014-10-27,8518.04
2014-10-28,8558.77
2014-10-29,8521.47
2014-10-30,8631.19
2014-10-31,8664.93
2014-11-03,8708.11
2014-11-04,8690.1
2014-11-05,8756.22
2014-11-06,8723.21
2014-11-07,8760.67
2014-11-10,8799.17
2014-11-11,8790.57
2014-11-12,8746.79
2014-11-13,8742.09
2014-11-14,8707.77
2014-11-17,8758.94
2014-11-18,8810.08
2014-11-19,8800.16
2014-11-20,8791.94
2014-11-21,8832.79
2014-11-24,8812.12
2014-11-25,8816.67
2014-11-26,8861.87
2014-11-28,8936.08
2014-12-01,8913.39
2014-12-02,8949.42
2014-12-03,8937.82
2014-12-04,8942.9
2014-12-05,8916.17
2014-12-08,8931.76
2014-12-09,8938.27
2014-12-10,8837.2
2014-12-11,8903.92
2014-12-12,8797.33
2014-12-15,8734.6
2014-12-16,8689.53
2014-12-17,8849.55
2014-12-18,9019.93
2014-12-19,9023.68
2014-12-22,9056.83
2014-12-23,9059.77
2014-12-24,9102.16
2014-12-26,9156.3
