Date,S&P 500 Low Rate-Sensitivity Index (USD) TR
2014-03-03,8292.29
2014-03-04,8412.8
2014-03-05,8401.2
2014-03-06,8405.43
2014-03-07,8411.08
2014-03-10,8400.95
2014-03-11,8367.74
2014-03-12,8381.2
2014-03-13,8299.81
2014-03-14,8303.03
2014-03-17,8366.34
2014-03-18,8413.36
2014-03-19,8352.05
2014-03-20,8384.83
2014-03-21,8366.04
2014-03-24,8314.41
2014-03-25,8334.83
2014-03-26,8284.57
2014-03-27,8277.24
2014-03-28,8318.44
2014-03-31,8395.47
2014-04-01,8448.26
2014-04-02,8474.16
2014-04-03,8464.24
2014-04-04,8379.92
2014-04-07,8292.19
2014-04-08,8334.3
2014-04-09,8410.02
2014-04-10,8247.3
2014-04-11,8165.7
2014-04-14,8230.07
2014-04-15,8281.16
2014-04-16,8366.17
2014-04-17,8364.98
2014-04-21,8388.96
2014-04-22,8426.4
2014-04-23,8415.08
2014-04-24,8423.18
2014-04-25,8370.16
2014-04-28,8390.79
2014-04-29,8419.7
2014-04-30,8461.27
2014-05-01,8468.23
2014-05-02,8449.43
2014-05-05,8469.44
2014-05-06,8401.64
2014-05-07,8451.13
2014-05-08,8435.24
2014-05-09,8446.21
2014-05-12,8519.46
2014-05-13,8516.73
2014-05-14,8486.71
2014-05-15,8417.58
2014-05-16,8456.06
2014-05-19,8470.05
2014-05-20,8409.42
2014-05-21,8458.38
2014-05-22,8486.73
2014-05-23,8520.34
2014-05-27,8565.88
2014-05-28,8560.75
2014-05-29,8605.08
2014-05-30,8629.92
2014-06-02,8637.9
2014-06-03,8636.35
2014-06-04,8661.53
2014-06-05,8714.85
2014-06-06,8749.53
2014-06-09,8750.97
2014-06-10,8732.34
2014-06-11,8696.94
2014-06-12,8650.94
2014-06-13,8676.56
2014-06-16,8693.57
2014-06-17,8715.03
2014-06-18,8793.4
2014-06-19,8815.32
2014-06-20,8833.28
2014-06-23,8824.04
2014-06-24,8791.83
2014-06-25,8820.14
2014-06-26,8820.72
2014-06-27,8836.69
2014-06-30,8846.26
2014-07-01,8889.5
2014-07-02,8873.25
2014-07-03,8910.79
2014-07-07,8873
2014-07-08,8831.55
2014-07-09,8866.34
2014-07-10,8839.88
2014-07-11,8842.24
2014-07-14,8861.67
2014-07-15,8836.18
2014-07-16,8855.66
2014-07-17,8757.86
2014-07-18,8851.09
2014-07-21,8823.22
2014-07-22,8857.36
2014-07-23,8864.61
2014-07-24,8883.6
2014-07-25,8841.29
2014-07-28,8864.83
2014-07-29,8827.6
2014-07-30,8816.35
2014-07-31,8656.53
2014-08-01,8654.78
2014-08-04,8698.65
2014-08-05,8630.47
2014-08-06,8624.64
2014-08-07,8588.72
2014-08-08,8701.64
2014-08-11,8724.62
2014-08-12,8711.72
2014-08-13,8762.2
2014-08-14,8813.38
2014-08-15,8822.1
2014-08-18,8889.2
2014-08-19,8939.28
2014-08-20,8963.43
2014-08-21,8978.73
2014-08-22,8962.57
2014-08-25,9000.21
2014-08-26,8996.31
2014-08-27,9004.45
2014-08-28,9006.97
2014-08-29,9038.06
2014-09-02,9031.88
2014-09-03,9039.67
2014-09-04,9029.61
2014-09-05,9080.63
2014-09-08,9050.62
2014-09-09,8984.05
2014-09-10,8997.23
2014-09-11,9016.07
2014-09-12,8937.37
2014-09-15,8930.74
2014-09-16,8996.99
2014-09-17,8997.29
2014-09-18,9022.41
2014-09-19,9021
2014-09-22,8954.37
2014-09-23,8898.55
2014-09-24,8967.63
2014-09-25,8851.23
2014-09-26,8913.99
2014-09-29,8910.35
2014-09-30,8886.81
2014-10-01,8795.4
2014-10-02,8804.87
2014-10-03,8899.52
2014-10-06,8883.52
2014-10-07,8768.81
2014-10-08,8924.13
2014-10-09,8757.61
2014-10-10,8692.3
2014-10-13,8567.42
2014-10-14,8617
2014-10-15,8559.99
2014-10-16,8565.53
2014-10-17,8656.28
2014-10-20,8754.87
2014-10-21,8914.71
2014-10-22,8860.84
2014-10-23,8952.06
2014-10-24,9017.61
2014-10-27,9009.88
2014-10-28,9103.96
2014-10-29,9076.62
2014-10-30,9155.92
2014-10-31,9242.15
2014-11-03,9252.79
2014-11-04,9220.38
2014-11-05,9287.56
2014-11-06,9310.41
2014-11-07,9326.7
2014-11-10,9359.1
2014-11-11,9358.18
2014-11-12,9346.51
2014-11-13,9337.04
2014-11-14,9324.07
2014-11-17,9353.02
2014-11-18,9406.59
2014-11-19,9396.6
2014-11-20,9413.58
2014-11-21,9461.29
2014-11-24,9482.67
2014-11-25,9477.11
2014-11-26,9503.65
2014-11-28,9517.49
2014-12-01,9457.41
2014-12-02,9509.4
2014-12-03,9542.97
2014-12-04,9528.51
2014-12-05,9531.21
2014-12-08,9487.56
2014-12-09,9500.33
2014-12-10,9356.62
2014-12-11,9413.73
2014-12-12,9279.83
2014-12-15,9229.26
2014-12-16,9171.66
2014-12-17,9352.37
2014-12-18,9548.96
2014-12-19,9579.95
