Date,S&P 500 High Rate-Sensitivity 100 Index (USD) TR
2014-04-14,7367.4
2014-04-15,7428.32
2014-04-16,7523.73
2014-04-17,7585.72
2014-04-21,7597.77
2014-04-22,7656.38
2014-04-23,7644.22
2014-04-24,7659.01
2014-04-25,7559.96
2014-04-28,7509.6
2014-04-29,7548.88
2014-04-30,7604.01
2014-05-01,7603.57
2014-05-02,7624.32
2014-05-05,7607.48
2014-05-06,7544.11
2014-05-07,7592.78
2014-05-08,7587.96
2014-05-09,7583.26
2014-05-12,7712.72
2014-05-13,7713.81
2014-05-14,7636.09
2014-05-15,7530.93
2014-05-16,7550.28
2014-05-19,7610.62
2014-05-20,7534.22
2014-05-21,7599.75
2014-05-22,7625.09
2014-05-23,7672.08
2014-05-27,7729.99
2014-05-28,7729.53
2014-05-29,7769.97
2014-05-30,7755.7
2014-06-02,7789.57
2014-06-03,7795.81
2014-06-04,7835.22
2014-06-05,7907.76
2014-06-06,7984.36
2014-06-09,8000.14
2014-06-10,7988.18
2014-06-11,7966.72
2014-06-12,7917.61
2014-06-13,7967.91
2014-06-16,7980.98
2014-06-17,8053.56
2014-06-18,8100.12
2014-06-19,8093.88
2014-06-20,8129.63
2014-06-23,8130.94
2014-06-24,8042.93
2014-06-25,8093.31
2014-06-26,8090.44
2014-06-27,8111.2
2014-06-30,8134.38
2014-07-01,8183.17
2014-07-02,8187.35
2014-07-03,8255.28
2014-07-07,8173.1
2014-07-08,8104.47
2014-07-09,8158.86
2014-07-10,8098.87
2014-07-11,8107.59
2014-07-14,8144.28
2014-07-15,8128.49
2014-07-16,8190.9
2014-07-17,8060.26
2014-07-18,8135.41
2014-07-21,8122
2014-07-22,8184.74
2014-07-23,8177.15
2014-07-24,8186.01
2014-07-25,8160.06
2014-07-28,8134.74
2014-07-29,8099.61
2014-07-30,8083.02
2014-07-31,7924.54
2014-08-01,7883.53
2014-08-04,7965.52
2014-08-05,7890.34
2014-08-06,7915.25
2014-08-07,7849.82
2014-08-08,7963.72
2014-08-11,7992.93
2014-08-12,7961.47
2014-08-13,8015.34
2014-08-14,8046.67
2014-08-15,8040.42
2014-08-18,8141.47
2014-08-19,8185.78
2014-08-20,8221.79
2014-08-21,8240.52
2014-08-22,8230.96
2014-08-25,8282.67
2014-08-26,8303.51
2014-08-27,8302.51
2014-08-28,8289.99
2014-08-29,8335.44
2014-09-02,8323.06
2014-09-03,8316.08
2014-09-04,8287.85
2014-09-05,8310.88
2014-09-08,8292.69
2014-09-09,8218.51
2014-09-10,8241.69
2014-09-11,8259.74
2014-09-12,8210.37
2014-09-15,8170.02
2014-09-16,8224.59
2014-09-17,8239.01
2014-09-18,8274.11
2014-09-19,8225.55
2014-09-22,8101.83
2014-09-23,8045.37
2014-09-24,8092.83
2014-09-25,7950.91
2014-09-26,8020.66
2014-09-29,7985.96
2014-09-30,7920.33
2014-10-01,7771.46
2014-10-02,7776.28
2014-10-03,7837.83
2014-10-06,7811.43
2014-10-07,7653.63
2014-10-08,7787.63
2014-10-09,7554.95
2014-10-10,7380.23
2014-10-13,7208.44
2014-10-14,7252.05
2014-10-15,7233.38
2014-10-16,7314.53
2014-10-17,7398.99
2014-10-20,7474.24
2014-10-21,7690.61
2014-10-22,7573.06
2014-10-23,7709.01
2014-10-24,7752.01
2014-10-27,7715.49
2014-10-28,7870.77
2014-10-29,7863.9
2014-10-30,7884.57
2014-10-31,8038.4
2014-11-03,8044.08
2014-11-04,7967.89
2014-11-05,8027.82
2014-11-06,8034.98
2014-11-07,8041.47
2014-11-10,8044.57
2014-11-11,8048.58
2014-11-12,8056.82
2014-11-13,8016.6
2014-11-14,8040.95
2014-11-17,8012.07
2014-11-18,8071.47
2014-11-19,8055.39
2014-11-20,8120.95
2014-11-21,8211.94
2014-11-24,8248.84
2014-11-25,8234.48
2014-11-26,8211.81
2014-11-28,8089.71
2014-12-01,7989.1
2014-12-02,8052.22
2014-12-03,8166.84
2014-12-04,8147.07
2014-12-05,8181.13
2014-12-08,8064.7
2014-12-09,8095.07
2014-12-10,7912.87
2014-12-11,7932.84
2014-12-12,7756.23
2014-12-15,7717.01
2014-12-16,7659.35
2014-12-17,7877.4
2014-12-18,8068.28
2014-12-19,8176.39
2014-12-22,8185.32
2014-12-23,8252.93
2014-12-24,8238.14
2014-12-26,8250.96
2014-12-29,8280.33
2014-12-30,8248.32
2014-12-31,8171.81
2015-01-02,8154.48
2015-01-05,7917.37
2015-01-06,7797.71
2015-01-07,7868.85
2015-01-08,8044.44
2015-01-09,7969.12
2015-01-12,7825.62
2015-01-13,7765.06
2015-01-14,7676.45
2015-01-15,7535.04
2015-01-16,7650.5
2015-01-20,7623.13
2015-01-21,7727.84
2015-01-22,7858.21
2015-01-23,7800.45
2015-01-26,7855.32
2015-01-27,7772.2
2015-01-28,7596.31
2015-01-29,7679.94
2015-01-30,7611.57
2015-02-02,7768.76
2015-02-03,7994.21
2015-02-04,7932.52
2015-02-05,8031.79
2015-02-06,8059.1
2015-02-09,8054.6
2015-02-10,8102.31
2015-02-11,8100.72
2015-02-12,8216.3
2015-02-13,8294.61
